time,vehicle0_x,vehicle0_y,vehicle0_z,vehicle0_offsetApplied,vehicle0_isAttacker,vehicle0_speed,vehicle1_x,vehicle1_y,vehicle1_z,vehicle1_offsetApplied,vehicle1_isAttacker,vehicle1_speed,vehicle2_x,vehicle2_y,vehicle2_z,vehicle2_offsetApplied,vehicle2_isAttacker,vehicle2_speed,vehicle3_x,vehicle3_y,vehicle3_z,vehicle3_offsetApplied,vehicle3_isAttacker,vehicle3_speed,vehicle4_x,vehicle4_y,vehicle4_z,vehicle4_offsetApplied,vehicle4_isAttacker,vehicle4_speed,vehicle5_x,vehicle5_y,vehicle5_z,vehicle5_offsetApplied,vehicle5_isAttacker,vehicle5_speed,vehicle6_x,vehicle6_y,vehicle6_z,vehicle6_offsetApplied,vehicle6_isAttacker,vehicle6_speed,vehicle7_x,vehicle7_y,vehicle7_z,vehicle7_offsetApplied,vehicle7_isAttacker,vehicle7_speed,vehicle8_x,vehicle8_y,vehicle8_z,vehicle8_offsetApplied,vehicle8_isAttacker,vehicle8_speed,vehicle9_x,vehicle9_y,vehicle9_z,vehicle9_offsetApplied,vehicle9_isAttacker,vehicle9_speed,vehicle10_x,vehicle10_y,vehicle10_z,vehicle10_offsetApplied,vehicle10_isAttacker,vehicle10_speed,vehicle11_x,vehicle11_y,vehicle11_z,vehicle11_offsetApplied,vehicle11_isAttacker,vehicle11_speed,vehicle12_x,vehicle12_y,vehicle12_z,vehicle12_offsetApplied,vehicle12_isAttacker,vehicle12_speed,vehicle13_x,vehicle13_y,vehicle13_z,vehicle13_offsetApplied,vehicle13_isAttacker,vehicle13_speed,vehicle14_x,vehicle14_y,vehicle14_z,vehicle14_offsetApplied,vehicle14_isAttacker,vehicle14_speed,vehicle15_x,vehicle15_y,vehicle15_z,vehicle15_offsetApplied,vehicle15_isAttacker,vehicle15_speed,vehicle16_x,vehicle16_y,vehicle16_z,vehicle16_offsetApplied,vehicle16_isAttacker,vehicle16_speed,vehicle17_x,vehicle17_y,vehicle17_z,vehicle17_offsetApplied,vehicle17_isAttacker,vehicle17_speed,vehicle18_x,vehicle18_y,vehicle18_z,vehicle18_offsetApplied,vehicle18_isAttacker,vehicle18_speed,vehicle19_x,vehicle19_y,vehicle19_z,vehicle19_offsetApplied,vehicle19_isAttacker,vehicle19_speed,vehicle20_x,vehicle20_y,vehicle20_z,vehicle20_offsetApplied,vehicle20_isAttacker,vehicle20_speed,vehicle21_x,vehicle21_y,vehicle21_z,vehicle21_offsetApplied,vehicle21_isAttacker,vehicle21_speed,vehicle22_x,vehicle22_y,vehicle22_z,vehicle22_offsetApplied,vehicle22_isAttacker,vehicle22_speed,vehicle23_x,vehicle23_y,vehicle23_z,vehicle23_offsetApplied,vehicle23_isAttacker,vehicle23_speed,vehicle24_x,vehicle24_y,vehicle24_z,vehicle24_offsetApplied,vehicle24_isAttacker,vehicle24_speed,vehicle25_x,vehicle25_y,vehicle25_z,vehicle25_offsetApplied,vehicle25_isAttacker,vehicle25_speed,vehicle26_x,vehicle26_y,vehicle26_z,vehicle26_offsetApplied,vehicle26_isAttacker,vehicle26_speed,vehicle27_x,vehicle27_y,vehicle27_z,vehicle27_offsetApplied,vehicle27_isAttacker,vehicle27_speed,vehicle28_x,vehicle28_y,vehicle28_z,vehicle28_offsetApplied,vehicle28_isAttacker,vehicle28_speed,vehicle29_x,vehicle29_y,vehicle29_z,vehicle29_offsetApplied,vehicle29_isAttacker,vehicle29_speed,vehicle30_x,vehicle30_y,vehicle30_z,vehicle30_offsetApplied,vehicle30_isAttacker,vehicle30_speed,vehicle31_x,vehicle31_y,vehicle31_z,vehicle31_offsetApplied,vehicle31_isAttacker,vehicle31_speed,vehicle32_x,vehicle32_y,vehicle32_z,vehicle32_offsetApplied,vehicle32_isAttacker,vehicle32_speed,vehicle33_x,vehicle33_y,vehicle33_z,vehicle33_offsetApplied,vehicle33_isAttacker,vehicle33_speed,vehicle34_x,vehicle34_y,vehicle34_z,vehicle34_offsetApplied,vehicle34_isAttacker,vehicle34_speed,vehicle35_x,vehicle35_y,vehicle35_z,vehicle35_offsetApplied,vehicle35_isAttacker,vehicle35_speed,vehicle36_x,vehicle36_y,vehicle36_z,vehicle36_offsetApplied,vehicle36_isAttacker,vehicle36_speed,vehicle37_x,vehicle37_y,vehicle37_z,vehicle37_offsetApplied,vehicle37_isAttacker,vehicle37_speed,vehicle38_x,vehicle38_y,vehicle38_z,vehicle38_offsetApplied,vehicle38_isAttacker,vehicle38_speed,vehicle39_x,vehicle39_y,vehicle39_z,vehicle39_offsetApplied,vehicle39_isAttacker,vehicle39_speed,vehicle40_x,vehicle40_y,vehicle40_z,vehicle40_offsetApplied,vehicle40_isAttacker,vehicle40_speed,vehicle41_x,vehicle41_y,vehicle41_z,vehicle41_offsetApplied,vehicle41_isAttacker,vehicle41_speed,vehicle42_x,vehicle42_y,vehicle42_z,vehicle42_offsetApplied,vehicle42_isAttacker,vehicle42_speed,vehicle43_x,vehicle43_y,vehicle43_z,vehicle43_offsetApplied,vehicle43_isAttacker,vehicle43_speed,vehicle44_x,vehicle44_y,vehicle44_z,vehicle44_offsetApplied,vehicle44_isAttacker,vehicle44_speed,vehicle45_x,vehicle45_y,vehicle45_z,vehicle45_offsetApplied,vehicle45_isAttacker,vehicle45_speed,vehicle46_x,vehicle46_y,vehicle46_z,vehicle46_offsetApplied,vehicle46_isAttacker,vehicle46_speed,vehicle47_x,vehicle47_y,vehicle47_z,vehicle47_offsetApplied,vehicle47_isAttacker,vehicle47_speed,vehicle48_x,vehicle48_y,vehicle48_z,vehicle48_offsetApplied,vehicle48_isAttacker,vehicle48_speed,vehicle49_x,vehicle49_y,vehicle49_z,vehicle49_offsetApplied,vehicle49_isAttacker,vehicle49_speed
82.00,2359.74,1629.58,0.00,0,1,1.00,2366.77,1622.47,0.00,0,0,1.00,2373.79,1615.35,0.00,0,0,1.00,2380.82,1608.24,0.00,0,0,1.00,2387.84,1601.12,0.00,0,0,1.00,2394.87,1594.01,0.00,0,0,1.00,2401.89,1586.89,0.00,0,0,1.00,2409.37,1580.47,0.00,0,0,1.00,2415.69,1578.15,0.00,0,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.10,2367.34,1636.22,2.02,1,1,0.50,2366.77,1622.47,0.00,0,0,1.00,2373.79,1615.35,0.00,0,0,1.00,2380.82,1608.24,0.00,0,0,1.00,2387.84,1601.12,0.00,0,0,1.00,2394.87,1594.01,0.00,0,0,1.00,2401.89,1586.89,0.00,0,0,1.00,2409.37,1580.47,0.00,0,0,1.00,2415.69,1578.15,0.00,0,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.10,2367.34,1636.22,2.02,1,1,0.50,2366.70,1622.54,0.00,0,0,1.00,2373.79,1615.35,0.00,0,0,1.00,2380.82,1608.24,0.00,0,0,1.00,2387.84,1601.12,0.00,0,0,1.00,2394.87,1594.01,0.00,0,0,1.00,2401.89,1586.89,0.00,0,0,1.00,2409.37,1580.47,0.00,0,0,1.00,2415.69,1578.15,0.00,0,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.10,2367.34,1636.22,2.02,1,1,0.50,2366.70,1622.54,0.00,0,0,1.00,2373.72,1615.42,0.00,0,0,1.00,2380.82,1608.24,0.00,0,0,1.00,2387.84,1601.12,0.00,0,0,1.00,2394.87,1594.01,0.00,0,0,1.00,2401.89,1586.89,0.00,0,0,1.00,2409.37,1580.47,0.00,0,0,1.00,2415.69,1578.15,0.00,0,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.10,2367.34,1636.22,2.02,1,1,0.50,2366.70,1622.54,0.00,0,0,1.00,2373.72,1615.42,0.00,0,0,1.00,2380.75,1608.31,0.00,0,0,1.00,2387.84,1601.12,0.00,0,0,1.00,2394.87,1594.01,0.00,0,0,1.00,2401.89,1586.89,0.00,0,0,1.00,2409.37,1580.47,0.00,0,0,1.00,2415.69,1578.15,0.00,0,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.10,2367.34,1636.22,2.02,1,1,0.50,2366.70,1622.54,0.00,0,0,1.00,2373.72,1615.42,0.00,0,0,1.00,2380.75,1608.31,0.00,0,0,1.00,2387.77,1601.19,0.00,0,0,1.00,2394.87,1594.01,0.00,0,0,1.00,2401.89,1586.89,0.00,0,0,1.00,2409.37,1580.47,0.00,0,0,1.00,2415.69,1578.15,0.00,0,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.10,2367.34,1636.22,2.02,1,1,0.50,2366.70,1622.54,0.00,0,0,1.00,2373.72,1615.42,0.00,0,0,1.00,2380.75,1608.31,0.00,0,0,1.00,2387.77,1601.19,0.00,0,0,1.00,2394.80,1594.08,0.00,0,0,1.00,2401.89,1586.89,0.00,0,0,1.00,2409.37,1580.47,0.00,0,0,1.00,2415.69,1578.15,0.00,0,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.10,2367.34,1636.22,2.02,1,1,0.50,2366.70,1622.54,0.00,0,0,1.00,2373.72,1615.42,0.00,0,0,1.00,2380.75,1608.31,0.00,0,0,1.00,2387.77,1601.19,0.00,0,0,1.00,2394.80,1594.08,0.00,0,0,1.00,2401.82,1586.96,0.00,0,0,1.00,2409.37,1580.47,0.00,0,0,1.00,2415.69,1578.15,0.00,0,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.10,2367.34,1636.22,2.02,1,1,0.50,2366.70,1622.54,0.00,0,0,1.00,2373.72,1615.42,0.00,0,0,1.00,2380.75,1608.31,0.00,0,0,1.00,2387.77,1601.19,0.00,0,0,1.00,2394.80,1594.08,0.00,0,0,1.00,2401.82,1586.96,0.00,0,0,1.00,2409.27,1580.51,0.00,0,0,1.00,2415.69,1578.15,0.00,0,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.10,2367.34,1636.22,2.02,1,1,0.50,2366.70,1622.54,0.00,0,0,1.00,2373.72,1615.42,0.00,0,0,1.00,2380.75,1608.31,0.00,0,0,1.00,2387.77,1601.19,0.00,0,0,1.00,2394.80,1594.08,0.00,0,0,1.00,2401.82,1586.96,0.00,0,0,1.00,2409.27,1580.51,0.00,0,0,1.00,2415.67,1578.16,0.00,0,0,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.20,2359.60,1629.72,0.00,0,1,1.00,2366.70,1622.54,0.00,0,0,1.00,2373.72,1615.42,0.00,0,0,1.00,2380.75,1608.31,0.00,0,0,1.00,2387.77,1601.19,0.00,0,0,1.00,2394.80,1594.08,0.00,0,0,1.00,2401.82,1586.96,0.00,0,0,1.00,2409.27,1580.51,0.00,0,0,1.00,2415.67,1578.16,0.00,0,0,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.20,2359.60,1629.72,0.00,0,1,1.00,2366.63,1622.61,0.00,0,0,1.00,2373.72,1615.42,0.00,0,0,1.00,2380.75,1608.31,0.00,0,0,1.00,2387.77,1601.19,0.00,0,0,1.00,2394.80,1594.08,0.00,0,0,1.00,2401.82,1586.96,0.00,0,0,1.00,2409.27,1580.51,0.00,0,0,1.00,2415.67,1578.16,0.00,0,0,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.20,2359.60,1629.72,0.00,0,1,1.00,2366.63,1622.61,0.00,0,0,1.00,2373.65,1615.49,0.00,0,0,1.00,2380.75,1608.31,0.00,0,0,1.00,2387.77,1601.19,0.00,0,0,1.00,2394.80,1594.08,0.00,0,0,1.00,2401.82,1586.96,0.00,0,0,1.00,2409.27,1580.51,0.00,0,0,1.00,2415.67,1578.16,0.00,0,0,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.20,2359.60,1629.72,0.00,0,1,1.00,2366.63,1622.61,0.00,0,0,1.00,2373.65,1615.49,0.00,0,0,1.00,2380.68,1608.38,0.00,0,0,1.00,2387.77,1601.19,0.00,0,0,1.00,2394.80,1594.08,0.00,0,0,1.00,2401.82,1586.96,0.00,0,0,1.00,2409.27,1580.51,0.00,0,0,1.00,2415.67,1578.16,0.00,0,0,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.20,2359.60,1629.72,0.00,0,1,1.00,2366.63,1622.61,0.00,0,0,1.00,2373.65,1615.49,0.00,0,0,1.00,2380.68,1608.38,0.00,0,0,1.00,2387.70,1601.26,0.00,0,0,1.00,2394.80,1594.08,0.00,0,0,1.00,2401.82,1586.96,0.00,0,0,1.00,2409.27,1580.51,0.00,0,0,1.00,2415.67,1578.16,0.00,0,0,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.20,2359.60,1629.72,0.00,0,1,1.00,2366.63,1622.61,0.00,0,0,1.00,2373.65,1615.49,0.00,0,0,1.00,2380.68,1608.38,0.00,0,0,1.00,2387.70,1601.26,0.00,0,0,1.00,2394.73,1594.15,0.00,0,0,1.00,2401.82,1586.96,0.00,0,0,1.00,2409.27,1580.51,0.00,0,0,1.00,2415.67,1578.16,0.00,0,0,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.20,2359.60,1629.72,0.00,0,1,1.00,2366.63,1622.61,0.00,0,0,1.00,2373.65,1615.49,0.00,0,0,1.00,2380.68,1608.38,0.00,0,0,1.00,2387.70,1601.26,0.00,0,0,1.00,2394.73,1594.15,0.00,0,0,1.00,2401.75,1587.03,0.00,0,0,1.00,2409.27,1580.51,0.00,0,0,1.00,2415.67,1578.16,0.00,0,0,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.20,2359.60,1629.72,0.00,0,1,1.00,2366.63,1622.61,0.00,0,0,1.00,2373.65,1615.49,0.00,0,0,1.00,2380.68,1608.38,0.00,0,0,1.00,2387.70,1601.26,0.00,0,0,1.00,2394.73,1594.15,0.00,0,0,1.00,2401.75,1587.03,0.00,0,0,1.00,2409.18,1580.54,0.00,0,0,1.00,2415.67,1578.16,0.00,0,0,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.20,2359.60,1629.72,0.00,0,1,1.00,2366.63,1622.61,0.00,0,0,1.00,2373.65,1615.49,0.00,0,0,1.00,2380.68,1608.38,0.00,0,0,1.00,2387.70,1601.26,0.00,0,0,1.00,2394.73,1594.15,0.00,0,0,1.00,2401.75,1587.03,0.00,0,0,1.00,2409.18,1580.54,0.00,0,0,1.00,2415.65,1578.17,0.00,0,0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.30,2359.53,1629.79,0.00,0,1,1.00,2366.63,1622.61,0.00,0,0,1.00,2373.65,1615.49,0.00,0,0,1.00,2380.68,1608.38,0.00,0,0,1.00,2387.70,1601.26,0.00,0,0,1.00,2394.73,1594.15,0.00,0,0,1.00,2401.75,1587.03,0.00,0,0,1.00,2409.18,1580.54,0.00,0,0,1.00,2415.65,1578.17,0.00,0,0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.30,2359.53,1629.79,0.00,0,1,1.00,2366.56,1622.68,0.00,0,0,1.00,2373.65,1615.49,0.00,0,0,1.00,2380.68,1608.38,0.00,0,0,1.00,2387.70,1601.26,0.00,0,0,1.00,2394.73,1594.15,0.00,0,0,1.00,2401.75,1587.03,0.00,0,0,1.00,2409.18,1580.54,0.00,0,0,1.00,2415.65,1578.17,0.00,0,0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.30,2359.53,1629.79,0.00,0,1,1.00,2366.56,1622.68,0.00,0,0,1.00,2373.58,1615.56,0.00,0,0,1.00,2380.68,1608.38,0.00,0,0,1.00,2387.70,1601.26,0.00,0,0,1.00,2394.73,1594.15,0.00,0,0,1.00,2401.75,1587.03,0.00,0,0,1.00,2409.18,1580.54,0.00,0,0,1.00,2415.65,1578.17,0.00,0,0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.30,2359.53,1629.79,0.00,0,1,1.00,2366.56,1622.68,0.00,0,0,1.00,2373.58,1615.56,0.00,0,0,1.00,2380.61,1608.45,0.00,0,0,1.00,2387.70,1601.26,0.00,0,0,1.00,2394.73,1594.15,0.00,0,0,1.00,2401.75,1587.03,0.00,0,0,1.00,2409.18,1580.54,0.00,0,0,1.00,2415.65,1578.17,0.00,0,0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.30,2359.53,1629.79,0.00,0,1,1.00,2366.56,1622.68,0.00,0,0,1.00,2373.58,1615.56,0.00,0,0,1.00,2380.61,1608.45,0.00,0,0,1.00,2387.63,1601.33,0.00,0,0,1.00,2394.73,1594.15,0.00,0,0,1.00,2401.75,1587.03,0.00,0,0,1.00,2409.18,1580.54,0.00,0,0,1.00,2415.65,1578.17,0.00,0,0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
